meter_ref_no,cnic,consumer_name,installation_address,city,province,date,connection_type,sanctioned_load_kw,avg_monthly_bill_pkr,billing_month,billing_year,provider_disco
GEPCO-33764746,33100-1001361-7,Chaudhry Naveed Raza,"House 878, Street 4, Satellite Town, Gujranwala",Gujranwala,Punjab,2021-12-11,Residential,25,5170,5,2021,GEPCO
GEPCO-74420810,33100-1001361-7,Naveed Raza,"House 878, Street 4, Satellite Town, Gujranwala",Gujranwala,Punjab,2017-12-07,Commercial,10,99249,9,2017,GEPCO
K-45269368,61101-1001228-6,Hassan Khan,"House 509, Street 19, Bahadurabad, Karachi",Karachi,Sindh,2023-12-25,Residential,15,14619,1,2023,K-Electric
GEPCO-13063429,45501-1001539-3,Amna Chaudhry,"House 959, Street 32, Civil Lines, Gujranwala",Gujranwala,Punjab,2020-03-01,Commercial,5,306590,1,2020,GEPCO
LESCO-50788038,42101-1000743-1,Chaudhry Fatima Ali,"House 860, Street 24, DHA Phase 5, Lahore",Lahore,Punjab,2025-10-28,Residential,3,65983,5,2025,LESCO
HESCO-18138995,33100-1001356-2,M. Malik,"House 765, Street 3, Qasimabad, Hyderabad",Hyderabad,Sindh,2020-06-06,Commercial,3,205418,11,2020,HESCO
QESCO-57865079,33100-1001556-2,F. Mirza,"House 159, Street 29, Brewery Road, Quetta",Quetta,Balochistan,2026-01-06,Residential,7,17766,2,2026,QESCO
LESCO-10132856,54400-1000692-4,Ahmed Baig,"House 732, Street 25, Johar Town, Lahore",Lahore,Punjab,2021-11-25,Commercial,7,208401,8,2021,LESCO
LESCO-88733443,35202-1001710-0,Huma Ghani Sahib,"House 986, Street 15, Bahria Town, Lahore",Lahore,Punjab,2019-07-10,Residential,10,33375,1,2019,LESCO
LESCO-94706455,54400-1000665-5,Chaudhry Waseem Akram,"House 37, Street 15, Model Town, Lahore",Lahore,Punjab,2024-09-20,Residential,3,21967,9,2024,LESCO
IESCO-99598596,61101-1000337-9,Chaudhry Muneeb Akhtar,"House 660, Street 9, F-10, Islamabad",Islamabad,Islamabad,2022-08-03,Residential,5,16207,7,2022,IESCO
LESCO-57874193,61101-1000213-1,Chaudhry Hassan Khan,"House 659, Street 15, Model Town, Lahore",Lahore,Punjab,2016-03-20,Residential,25,3656,6,2016,LESCO
LESCO-63586364,42101-1000118-6,Hira Shah Sahib,"House 54, Street 14, Johar Town, Lahore",Lahore,Punjab,2020-06-30,Residential,7,27381,1,2020,LESCO
SEPCO-19269516,17301-1000528-6,Chaudhry Hassan Khan,"House 17, Street 11, New Pind, Sukkur",Sukkur,Sindh,2025-09-27,Residential,5,67902,11,2025,SEPCO
QESCO-22215826,33100-1001335-5,Chaudhry Usman Malik,"House 696, Street 14, Satellite Town, Quetta",Quetta,Balochistan,2018-08-16,Residential,15,16892,12,2018,QESCO
MEPCO-52218389,54400-1001979-3,Rabia Noor Sahib,"House 304, Street 5, DHA Multan, Multan",Multan,Punjab,2024-11-22,Commercial,5,78362,5,2024,MEPCO
K-83762723,45501-1001452-4,Maham Tariq,"House 477, Street 21, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2022-02-11,Residential,3,20112,12,2022,K-Electric
MEPCO-13000107,42101-1001403-1,Chaudhry Hassan Khan,"House 770, Street 31, Gulgasht, Multan",Multan,Punjab,2020-10-12,Residential,50,27107,6,2020,MEPCO
MEPCO-76000865,42101-1001403-1,H. Khan,"House 770, Street 31, Gulgasht, Multan",Multan,Punjab,2025-03-28,Industrial,10,520920,11,2025,MEPCO
K-39080380,45501-1001890-0,Waseem Akram,"House 818, Street 14, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2021-08-10,Residential,7,27560,7,2021,K-Electric
IESCO-63879759,17301-1001918-6,Kamran Qureshi,"House 541, Street 26, Chaklala, Rawalpindi",Rawalpindi,Punjab,2021-10-01,Residential,7,59876,10,2021,IESCO
K-36296193,35202-1001206-2,F. Mirza,"House 957, Street 5, Clifton, Karachi",Karachi,Sindh,2024-07-01,Residential,5,74588,5,2024,K-Electric
K-34861989,35202-1001206-2,Fahad Mirza Sahib,"House 957, Street 5, Clifton, Karachi",Karachi,Sindh,2017-09-02,Residential,25,56163,10,2017,K-Electric
FESCO-10076723,33100-1000277-9,Khalid Malik,"House 192, Street 32, Madina Town, Faisalabad",Faisalabad,Punjab,2018-04-09,Residential,5,46858,3,2018,FESCO
SEPCO-15937940,54400-1001135-5,Chaudhry Danish Butt,"House 855, Street 22, New Pind, Sukkur",Sukkur,Sindh,2026-12-05,Residential,50,39349,8,2026,SEPCO
K-68162976,35202-1000890-0,D. Butt,"House 369, Street 22, Bahadurabad, Karachi",Karachi,Sindh,2017-09-20,Residential,25,4784,6,2017,K-Electric
IESCO-41175660,35202-1000803-1,Shazia Butt,"House 971, Street 35, E-11, Islamabad",Islamabad,Islamabad,2025-07-13,Residential,15,40548,9,2025,IESCO
K-51069383,35202-1001940-0,Danish Butt Sahib,"House 390, Street 25, DHA Phase 6, Karachi",Karachi,Sindh,2026-08-15,Residential,7,14834,7,2026,K-Electric
MEPCO-39645997,42101-1001954-8,N. Hussain,"House 544, Street 17, Cantt, Multan",Multan,Punjab,2024-10-23,Residential,50,20785,11,2024,MEPCO
SEPCO-29613413,17301-1001630-0,Imran Siddiqui,"House 483, Street 10, New Pind, Sukkur",Sukkur,Sindh,2025-07-13,Residential,10,56311,1,2025,SEPCO
IESCO-27831966,54400-1000340-0,Sara Ahmed,"House 97, Street 19, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2018-08-04,Residential,10,22792,4,2018,IESCO
FESCO-24672925,45501-1001783-1,Shazia Butt,"House 112, Street 20, Canal Road, Faisalabad",Faisalabad,Punjab,2020-04-27,Residential,7,246580,5,2020,FESCO
MEPCO-37285482,35202-1001839-3,Chaudhry Rabia Noor,"House 873, Street 15, Shah Rukn-e-Alam, Multan",Multan,Punjab,2016-09-19,Residential,25,74636,6,2016,MEPCO
MEPCO-86601687,35202-1001839-3,Rabia Noor,"House 873, Street 15, Shah Rukn-e-Alam, Multan",Multan,Punjab,2019-12-09,Commercial,3,73293,7,2019,MEPCO
MEPCO-75515101,45501-1001515-5,Zainab Ahmed,"House 202, Street 12, Gulgasht, Multan",Multan,Punjab,2018-08-12,Residential,50,48751,5,2018,MEPCO
QESCO-71799743,54400-1000910-0,W. Akram,"House 552, Street 17, Jinnah Town, Quetta",Quetta,Balochistan,2025-10-05,Commercial,10,221724,9,2025,QESCO
PESCO-26159381,61101-1000660-0,H. Ghani,"House 972, Street 12, University Road, Peshawar",Peshawar,KPK,2025-06-26,Residential,15,13808,4,2025,PESCO
K-10030033,35202-1001978-6,Kashif Javed,"House 971, Street 20, Clifton, Karachi",Karachi,Sindh,2020-02-22,Commercial,10,344592,2,2020,K-Electric
QESCO-76929360,17301-1001598-6,A. Iqbal,"House 567, Street 8, Cantt, Quetta",Quetta,Balochistan,2025-05-28,Residential,10,22680,2,2025,QESCO
QESCO-71076388,33100-1000289-3,Chaudhry Sana Iqbal,"House 991, Street 32, Satellite Town, Quetta",Quetta,Balochistan,2024-07-16,Commercial,15,200996,5,2024,QESCO
QESCO-10545502,33100-1000289-3,Sana Iqbal,"House 991, Street 32, Satellite Town, Quetta",Quetta,Balochistan,2019-01-11,Commercial,15,209790,11,2019,QESCO
IESCO-45351250,17301-1000959-3,N. Aslam,"House 887, Street 9, PWD, Rawalpindi",Rawalpindi,Punjab,2018-04-30,Residential,5,56983,12,2018,IESCO
IESCO-55107877,17301-1000959-3,Nimra Aslam,"House 887, Street 9, PWD, Rawalpindi",Rawalpindi,Punjab,2021-06-17,Commercial,50,111106,7,2021,IESCO
IESCO-23401169,54400-1001790-0,Usman Malik,"House 983, Street 31, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2024-07-18,Residential,50,28382,9,2024,IESCO
SEPCO-29246484,54400-1001156-2,Muhammad Ahmed,"House 904, Street 29, Queens Road, Sukkur",Sukkur,Sindh,2017-04-02,Residential,3,21018,8,2017,SEPCO
IESCO-72322187,54400-1001961-7,Muhammad Ahmed,"House 462, Street 28, E-11, Islamabad",Islamabad,Islamabad,2022-10-08,Residential,3,65396,2,2022,IESCO
HESCO-98741504,17301-1001390-0,S. Ahmed,"House 595, Street 3, Saddar, Hyderabad",Hyderabad,Sindh,2022-10-25,Commercial,25,213974,1,2022,HESCO
IESCO-93415278,61101-1000327-9,Chaudhry Umer Farooq,"House 114, Street 4, DHA Phase 2, Islamabad",Islamabad,Islamabad,2017-03-11,Residential,7,52509,1,2017,IESCO
QESCO-39239943,61101-1001675-5,H. Ghani,"House 418, Street 23, Satellite Town, Quetta",Quetta,Balochistan,2019-06-01,Industrial,50,612280,11,2019,QESCO
QESCO-50514763,54400-1001445-5,Zainab Ahmed,"House 68, Street 4, Jinnah Town, Quetta",Quetta,Balochistan,2017-11-15,Residential,7,44547,5,2017,QESCO
K-42733541,61101-1000040-0,Usman Malik,"House 740, Street 32, Gulshan-e-Iqbal, Karachi",Karachi,Sindh,2024-12-14,Commercial,10,127872,8,2024,K-Electric
LESCO-14376941,35202-1000593-1,Chaudhry Shazia Butt,"House 116, Street 22, Bahria Town, Lahore",Lahore,Punjab,2018-05-24,Commercial,15,159812,2,2018,LESCO
PESCO-93223029,35202-1001934-8,Sana Iqbal Sahib,"House 18, Street 15, Warsak Road, Peshawar",Peshawar,KPK,2022-03-17,Residential,5,61087,4,2022,PESCO
GEPCO-57188456,35202-1001055-5,U. Malik,"House 317, Street 14, Model Town, Gujranwala",Gujranwala,Punjab,2016-09-04,Commercial,15,126196,10,2016,GEPCO
FESCO-48745682,42101-1001730-0,D. Butt,"House 940, Street 33, Madina Town, Faisalabad",Faisalabad,Punjab,2026-02-17,Residential,25,66731,12,2026,FESCO
SEPCO-30454473,17301-1001531-7,Mariam Malik,"House 317, Street 4, Military Road, Sukkur",Sukkur,Sindh,2026-04-26,Commercial,3,81170,3,2026,SEPCO
IESCO-72658912,35202-1001627-9,Chaudhry Maham Tariq,"House 120, Street 3, DHA Phase 2, Islamabad",Islamabad,Islamabad,2018-06-27,Industrial,3,690338,1,2018,IESCO
K-95238996,42101-1001732-4,Maham Tariq,"House 159, Street 22, Clifton, Karachi",Karachi,Sindh,2020-01-14,Commercial,50,168564,8,2020,K-Electric
K-61935710,42101-1001732-4,Maham Tariq,"House 159, Street 22, Clifton, Karachi",Karachi,Sindh,2024-08-01,Residential,25,21153,5,2024,K-Electric
LESCO-20748984,17301-1000459-3,Bilal Ahmed Sahib,"House 143, Street 10, Bahria Town, Lahore",Lahore,Punjab,2022-12-29,Residential,25,38413,11,2022,LESCO
QESCO-94832497,54400-1001471-7,Muhammad Ahmed Sahib,"House 97, Street 27, Satellite Town, Quetta",Quetta,Balochistan,2018-11-03,Residential,10,3851,5,2018,QESCO
IESCO-35333360,35202-1000525-5,Waseem Akram,"House 280, Street 26, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2019-11-16,Commercial,7,343462,11,2019,IESCO
SEPCO-19955967,33100-1000833-1,Kamran Qureshi,"House 966, Street 32, New Pind, Sukkur",Sukkur,Sindh,2021-05-19,Residential,15,6941,9,2021,SEPCO
MEPCO-30686608,54400-1001501-7,Chaudhry Naveed Raza,"House 109, Street 2, Bosan Road, Multan",Multan,Punjab,2026-02-14,Residential,7,49100,1,2026,MEPCO
SEPCO-94757221,61101-1001199-3,Sana Iqbal,"House 763, Street 11, Barrage Road, Sukkur",Sukkur,Sindh,2024-04-16,Industrial,5,535305,9,2024,SEPCO
IESCO-87495763,61101-1001953-1,Kamran Qureshi,"House 89, Street 27, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2025-09-27,Residential,10,59312,11,2025,IESCO
PESCO-15518630,54400-1000046-2,Saad Qureshi Sahib,"House 281, Street 12, Warsak Road, Peshawar",Peshawar,KPK,2021-12-29,Residential,7,36939,1,2021,PESCO
MEPCO-36928177,54400-1000839-3,Chaudhry Amna Chaudhry,"House 499, Street 1, Gulgasht, Multan",Multan,Punjab,2024-12-30,Residential,25,62541,7,2024,MEPCO
FESCO-62582821,35202-1000927-9,Maham Tariq Sahib,"House 980, Street 23, Madina Town, Faisalabad",Faisalabad,Punjab,2016-02-29,Residential,15,31721,9,2016,FESCO
MEPCO-89416166,45501-1000464-8,S. Iqbal,"House 253, Street 27, Shah Rukn-e-Alam, Multan",Multan,Punjab,2020-12-04,Residential,5,44817,11,2020,MEPCO
MEPCO-75577220,45501-1000464-8,Sana Iqbal Sahib,"House 253, Street 27, Shah Rukn-e-Alam, Multan",Multan,Punjab,2026-02-03,Residential,15,70368,11,2026,MEPCO
GEPCO-76687352,54400-1000586-2,Chaudhry Mariam Malik,"House 812, Street 33, Satellite Town, Gujranwala",Gujranwala,Punjab,2024-07-26,Commercial,50,90434,6,2024,GEPCO
IESCO-95722320,33100-1001522-4,Maham Tariq,"House 999, Street 6, DHA Phase 2, Islamabad",Islamabad,Islamabad,2024-01-03,Residential,3,6685,9,2024,IESCO
GEPCO-43083042,17301-1000361-7,S. Qureshi,"House 283, Street 3, Civil Lines, Gujranwala",Gujranwala,Punjab,2016-02-11,Industrial,7,226141,5,2016,GEPCO
MEPCO-82752076,45501-1000417-9,Khalid Malik,"House 10, Street 27, Cantt, Multan",Multan,Punjab,2024-06-03,Residential,3,6584,4,2024,MEPCO
QESCO-90352420,17301-1001389-3,Laiba Khan Sahib,"House 825, Street 34, Brewery Road, Quetta",Quetta,Balochistan,2024-06-25,Commercial,15,131600,5,2024,QESCO
MEPCO-19077505,33100-1000472-4,Maham Tariq Sahib,"House 790, Street 24, Shah Rukn-e-Alam, Multan",Multan,Punjab,2019-04-09,Residential,50,42992,8,2019,MEPCO
K-26785895,17301-1001147-9,Chaudhry Ahmed Baig,"House 887, Street 23, Nazimabad, Karachi",Karachi,Sindh,2018-03-29,Residential,15,233378,10,2018,K-Electric
K-54290897,33100-1001976-2,Fahad Mirza,"House 905, Street 28, Bahadurabad, Karachi",Karachi,Sindh,2023-05-18,Residential,15,47455,11,2023,K-Electric
GEPCO-70064610,42101-1001061-7,Chaudhry Saad Qureshi,"House 326, Street 16, Wapda Town, Gujranwala",Gujranwala,Punjab,2020-04-03,Residential,15,41526,7,2020,GEPCO
SEPCO-88925260,42101-1001454-8,Rabia Noor Sahib,"House 316, Street 19, Military Road, Sukkur",Sukkur,Sindh,2025-06-21,Residential,50,18174,9,2025,SEPCO
IESCO-78970697,54400-1000122-4,Maham Tariq Sahib,"House 787, Street 7, DHA Phase 2, Islamabad",Islamabad,Islamabad,2017-08-07,Residential,25,41090,3,2017,IESCO
MEPCO-56169903,17301-1000058-6,Asad Iqbal,"House 54, Street 1, DHA Multan, Multan",Multan,Punjab,2016-11-04,Residential,5,41254,10,2016,MEPCO
FESCO-90584625,17301-1000184-8,Sana Iqbal,"House 82, Street 12, D Ground, Faisalabad",Faisalabad,Punjab,2024-09-04,Residential,25,33662,2,2024,FESCO
LESCO-41819627,42101-1001191-7,Chaudhry Muhammad Ahmed,"House 112, Street 24, Bahria Town, Lahore",Lahore,Punjab,2018-09-05,Residential,25,27376,3,2018,LESCO
IESCO-34516094,17301-1001512-4,Ayesha Khan,"House 891, Street 18, F-10, Islamabad",Islamabad,Islamabad,2025-04-21,Residential,7,65151,3,2025,IESCO
IESCO-78648297,17301-1001512-4,Chaudhry Ayesha Khan,"House 891, Street 18, F-10, Islamabad",Islamabad,Islamabad,2019-07-23,Residential,25,11158,11,2019,IESCO
LESCO-45926673,35202-1000967-9,M. Akhtar,"House 729, Street 22, DHA Phase 5, Lahore",Lahore,Punjab,2017-01-27,Residential,3,60248,2,2017,LESCO
HESCO-10084955,33100-1000306-2,Mariam Malik,"House 890, Street 15, Auto Bhan, Hyderabad",Hyderabad,Sindh,2020-03-06,Residential,10,66904,7,2020,HESCO
LESCO-18407591,35202-1001562-4,Chaudhry Muneeb Akhtar,"House 796, Street 7, Bahria Town, Lahore",Lahore,Punjab,2024-12-25,Industrial,15,408345,11,2024,LESCO
PESCO-20932298,61101-1000875-5,Waseem Akram,"House 922, Street 6, Hayatabad, Peshawar",Peshawar,KPK,2026-04-19,Residential,7,33298,10,2026,PESCO
QESCO-59275799,42101-1000655-5,Sara Ahmed,"House 906, Street 14, Samungli Road, Quetta",Quetta,Balochistan,2021-06-01,Residential,5,3586,11,2021,QESCO
QESCO-49090542,42101-1000655-5,Sara Ahmed,"House 906, Street 14, Samungli Road, Quetta",Quetta,Balochistan,2016-04-25,Commercial,25,217987,9,2016,QESCO
LESCO-55488208,33100-1000015-5,Chaudhry Danish Butt,"House 653, Street 24, DHA Phase 5, Lahore",Lahore,Punjab,2023-05-19,Residential,15,25829,1,2023,LESCO
IESCO-68776821,54400-1000169-3,Nida Hussain,"House 468, Street 2, Bahria Town, Rawalpindi",Rawalpindi,Punjab,2017-12-09,Residential,15,8046,12,2017,IESCO
HESCO-17597844,54400-1000276-2,Chaudhry Naveed Raza,"House 29, Street 35, Latifabad, Hyderabad",Hyderabad,Sindh,2021-05-16,Residential,5,33924,4,2021,HESCO
IESCO-78656819,45501-1000216-2,H. Sheikh,"House 210, Street 20, DHA Phase 2, Islamabad",Islamabad,Islamabad,2026-11-13,Commercial,5,87442,2,2026,IESCO
FESCO-50129332,61101-1000977-9,Chaudhry Khalid Malik,"House 403, Street 31, Gulberg, Faisalabad",Faisalabad,Punjab,2023-01-31,Residential,5,47442,4,2023,FESCO
HESCO-11394386,61101-1000029-3,Nida Hussain Sahib,"House 539, Street 8, Latifabad, Hyderabad",Hyderabad,Sindh,2016-04-04,Residential,7,54570,4,2016,HESCO
QESCO-42387516,45501-1000872-4,Khalid Malik,"House 520, Street 10, Jinnah Town, Quetta",Quetta,Balochistan,2023-07-27,Commercial,3,153491,12,2023,QESCO
QESCO-87396783,45501-1000872-4,Khalid Malik,"House 520, Street 10, Jinnah Town, Quetta",Quetta,Balochistan,2017-03-02,Commercial,5,318188,2,2017,QESCO
PESCO-29987864,42101-1001308-6,H. Shah,"House 910, Street 35, Saddar, Peshawar",Peshawar,KPK,2019-08-25,Residential,7,10763,1,2019,PESCO
IESCO-49602797,17301-1000685-5,Imran Siddiqui Sahib,"House 664, Street 9, DHA Phase 2, Islamabad",Islamabad,Islamabad,2025-03-26,Residential,25,67811,3,2025,IESCO
MEPCO-17193567,42101-1000406-2,Taha Hussain,"House 410, Street 24, Shah Rukn-e-Alam, Multan",Multan,Punjab,2023-07-15,Industrial,10,867461,5,2023,MEPCO
LESCO-23470176,17301-1000356-2,H. Sheikh,"House 709, Street 15, Bahria Town, Lahore",Lahore,Punjab,2024-05-08,Residential,3,33285,6,2024,LESCO
LESCO-20333758,17301-1000356-2,Chaudhry Hamza Sheikh,"House 709, Street 15, Bahria Town, Lahore",Lahore,Punjab,2017-06-15,Residential,7,5885,1,2017,LESCO
K-78627010,54400-1001507-9,Ali Raza Sahib,"House 135, Street 29, Bahadurabad, Karachi",Karachi,Sindh,2023-08-03,Residential,15,67073,1,2023,K-Electric
K-46369954,45501-1001446-2,Saad Qureshi,"House 580, Street 26, Bahadurabad, Karachi",Karachi,Sindh,2019-08-05,Residential,50,43198,2,2019,K-Electric
GEPCO-62569740,45501-1001319-3,Laiba Khan Sahib,"House 23, Street 11, Satellite Town, Gujranwala",Gujranwala,Punjab,2026-03-10,Commercial,15,233177,10,2026,GEPCO
FESCO-59388346,42101-1000595-5,Waseem Akram,"House 950, Street 7, People Colony, Faisalabad",Faisalabad,Punjab,2025-03-01,Residential,3,6870,3,2025,FESCO
IESCO-53318710,17301-1001800-0,Danish Butt,"House 997, Street 22, Saddar, Rawalpindi",Rawalpindi,Punjab,2017-10-17,Residential,25,31484,6,2017,IESCO
IESCO-59687799,42101-1001722-4,Ayesha Khan,"House 12, Street 12, DHA Phase 2, Islamabad",Islamabad,Islamabad,2020-02-16,Residential,3,60202,4,2020,IESCO
IESCO-14371976,45501-1000559-3,A. Chaudhry,"House 940, Street 5, F-10, Islamabad",Islamabad,Islamabad,2025-02-10,Residential,50,19405,7,2025,IESCO
GEPCO-70073098,17301-1000622-4,A. Baig,"House 815, Street 27, Satellite Town, Gujranwala",Gujranwala,Punjab,2018-11-18,Industrial,7,815033,8,2018,GEPCO
MEPCO-61538508,54400-1001481-7,Saad Qureshi Sahib,"House 643, Street 8, Shah Rukn-e-Alam, Multan",Multan,Punjab,2018-12-09,Commercial,5,182131,10,2018,MEPCO
FESCO-69997909,42101-1001310-0,Danish Butt,"House 349, Street 3, Gulberg, Faisalabad",Faisalabad,Punjab,2021-11-21,Residential,10,42207,3,2021,FESCO
K-51664588,33100-1001259-3,Amna Chaudhry,"House 75, Street 24, Nazimabad, Karachi",Karachi,Sindh,2020-12-14,Residential,7,28268,5,2020,K-Electric
IESCO-67798758,54400-1000332-4,M. Tariq,"House 490, Street 22, Chaklala, Rawalpindi",Rawalpindi,Punjab,2021-01-28,Residential,25,22525,10,2021,IESCO
IESCO-55732934,54400-1000332-4,M. Tariq,"House 490, Street 22, Chaklala, Rawalpindi",Rawalpindi,Punjab,2026-10-24,Residential,5,61349,9,2026,IESCO
IESCO-56597405,45501-1001334-8,B. Ahmed,"House 598, Street 23, DHA Phase 2, Islamabad",Islamabad,Islamabad,2021-10-22,Commercial,3,283095,2,2021,IESCO
MEPCO-10708007,42101-1000048-6,H. Shah,"House 976, Street 25, Gulgasht, Multan",Multan,Punjab,2024-12-20,Residential,3,74367,1,2024,MEPCO
SEPCO-68787705,54400-1000161-7,Taha Hussain Sahib,"House 142, Street 15, Military Road, Sukkur",Sukkur,Sindh,2021-10-04,Residential,10,41913,3,2021,SEPCO
QESCO-94218683,54400-1000053-1,K. Javed,"House 53, Street 31, Brewery Road, Quetta",Quetta,Balochistan,2022-06-03,Residential,7,4187,2,2022,QESCO
GEPCO-83482955,54400-1001881-7,Mariam Malik Sahib,"House 776, Street 6, Peoples Colony, Gujranwala",Gujranwala,Punjab,2022-02-09,Residential,10,25774,2,2022,GEPCO
LESCO-52473377,33100-1000319-3,Chaudhry Bilal Ahmed,"House 659, Street 35, DHA Phase 5, Lahore",Lahore,Punjab,2025-07-03,Residential,7,42580,4,2025,LESCO
LESCO-71243574,33100-1000319-3,Bilal Ahmed Sahib,"House 659, Street 35, DHA Phase 5, Lahore",Lahore,Punjab,2022-08-05,Residential,25,46204,4,2022,LESCO
IESCO-17470560,35202-1000018-6,Chaudhry Kashif Javed,"House 559, Street 29, DHA Phase 2, Islamabad",Islamabad,Islamabad,2020-06-20,Residential,5,8598,9,2020,IESCO
HESCO-94129827,33100-1000272-4,Ahmed Baig,"House 571, Street 35, Hussainabad, Hyderabad",Hyderabad,Sindh,2016-08-19,Residential,25,49976,4,2016,HESCO
QESCO-90262141,17301-1000450-0,H. Ghani,"House 502, Street 14, Brewery Road, Quetta",Quetta,Balochistan,2022-06-30,Commercial,7,230480,3,2022,QESCO
QESCO-32882504,35202-1000061-7,Mariam Malik,"House 299, Street 34, Jinnah Town, Quetta",Quetta,Balochistan,2019-07-29,Residential,25,31346,7,2019,QESCO
FESCO-40856935,17301-1001064-8,Nimra Aslam,"House 889, Street 18, D Ground, Faisalabad",Faisalabad,Punjab,2021-11-18,Residential,10,8649,3,2021,FESCO
MEPCO-88774856,45501-1000431-7,Chaudhry Saad Qureshi,"House 561, Street 19, Gulgasht, Multan",Multan,Punjab,2024-03-08,Residential,25,59541,12,2024,MEPCO
FESCO-67752328,61101-1001852-4,Khalid Malik Sahib,"House 872, Street 6, D Ground, Faisalabad",Faisalabad,Punjab,2017-08-06,Residential,7,62645,5,2017,FESCO
MEPCO-55756111,42101-1001502-4,Khalid Malik,"House 176, Street 15, DHA Multan, Multan",Multan,Punjab,2017-04-28,Commercial,50,249967,7,2017,MEPCO
IESCO-17291434,42101-1001651-7,Chaudhry Hamza Sheikh,"House 603, Street 19, F-10, Islamabad",Islamabad,Islamabad,2016-04-24,Residential,3,22581,5,2016,IESCO
SEPCO-56255638,54400-1000465-5,Zainab Ahmed,"House 757, Street 9, Military Road, Sukkur",Sukkur,Sindh,2019-11-05,Residential,3,16081,8,2019,SEPCO
PESCO-38474900,61101-1001563-1,Asad Iqbal,"House 842, Street 29, Warsak Road, Peshawar",Peshawar,KPK,2021-06-20,Residential,5,58269,1,2021,PESCO
FESCO-17791504,42101-1001540-0,W. Akram,"House 800, Street 9, Gulberg, Faisalabad",Faisalabad,Punjab,2026-03-01,Residential,7,74452,3,2026,FESCO
PESCO-64839236,54400-1001526-2,Taha Hussain,"House 26, Street 27, Hayatabad, Peshawar",Peshawar,KPK,2019-07-24,Residential,50,54449,5,2019,PESCO
MEPCO-94216447,54400-1000143-1,Hassan Khan,"House 328, Street 5, Cantt, Multan",Multan,Punjab,2020-04-16,Residential,3,32301,10,2020,MEPCO
SEPCO-42826376,17301-1000128-6,Asad Iqbal,"House 149, Street 33, Military Road, Sukkur",Sukkur,Sindh,2022-09-28,Residential,5,58627,7,2022,SEPCO
MEPCO-76515285,54400-1000947-9,Chaudhry Ali Raza,"House 65, Street 13, Bosan Road, Multan",Multan,Punjab,2017-08-16,Residential,3,27337,8,2017,MEPCO
MEPCO-19020321,33100-1000993-1,Hira Shah,"House 514, Street 10, Bosan Road, Multan",Multan,Punjab,2018-12-18,Residential,10,35970,3,2018,MEPCO
QESCO-71876687,61101-1000225-5,D. Butt,"House 355, Street 14, Satellite Town, Quetta",Quetta,Balochistan,2026-07-21,Residential,25,31990,6,2026,QESCO
PESCO-74462297,45501-1001466-2,Chaudhry Naveed Raza,"House 106, Street 8, Warsak Road, Peshawar",Peshawar,KPK,2020-05-13,Residential,10,13706,7,2020,PESCO
HESCO-63636428,45501-1001194-8,Bilal Ahmed,"House 557, Street 31, Saddar, Hyderabad",Hyderabad,Sindh,2016-09-28,Commercial,50,115462,7,2016,HESCO
HESCO-29752616,45501-1001194-8,Bilal Ahmed Sahib,"House 557, Street 31, Saddar, Hyderabad",Hyderabad,Sindh,2024-04-05,Commercial,25,246731,4,2024,HESCO
K-81544656,42101-1000540-0,D. Butt,"House 248, Street 35, DHA Phase 6, Karachi",Karachi,Sindh,2024-01-09,Commercial,7,245926,10,2024,K-Electric
GEPCO-30248278,45501-1000423-1,H. Khan,"House 232, Street 28, Civil Lines, Gujranwala",Gujranwala,Punjab,2023-06-07,Residential,7,73687,10,2023,GEPCO
GEPCO-68643036,45501-1000423-1,H. Khan,"House 232, Street 28, Civil Lines, Gujranwala",Gujranwala,Punjab,2025-05-24,Residential,10,17511,1,2025,GEPCO
QESCO-61744211,42101-1001837-9,Chaudhry Maham Tariq,"House 689, Street 26, Brewery Road, Quetta",Quetta,Balochistan,2019-12-29,Residential,25,39915,8,2019,QESCO
HESCO-21864127,33100-1000255-5,Chaudhry Zainab Ahmed,"House 945, Street 35, Auto Bhan, Hyderabad",Hyderabad,Sindh,2020-02-23,Commercial,7,155960,1,2020,HESCO
GEPCO-95365310,54400-1000946-2,Muhammad Ahmed Sahib,"House 815, Street 33, Civil Lines, Gujranwala",Gujranwala,Punjab,2019-08-12,Residential,25,23070,6,2019,GEPCO
IESCO-70689688,45501-1001959-3,Amna Chaudhry Sahib,"House 626, Street 1, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2023-12-11,Residential,10,52507,2,2023,IESCO
IESCO-41470282,45501-1001959-3,A. Chaudhry,"House 626, Street 1, Satellite Town, Rawalpindi",Rawalpindi,Punjab,2023-04-05,Residential,5,40280,1,2023,IESCO
HESCO-13802553,33100-1001510-0,Usman Malik Sahib,"House 268, Street 15, Qasimabad, Hyderabad",Hyderabad,Sindh,2023-06-09,Commercial,15,320854,4,2023,HESCO
LESCO-48349824,42101-1000877-9,A. Raza,"House 170, Street 18, DHA Phase 5, Lahore",Lahore,Punjab,2019-07-02,Residential,7,23245,9,2019,LESCO
