cnic,registry_no,buyer_name,seller_name,property_address,property_value_pkr,transfer_date,area_marla,property_type
80918-4515111-4,REGY-963357,Michael Green,Nicole Blake,"Kothi 367, Model Town, Islamabad",16414075,2020-09-04,15,Plot
47222-2416912-6,REGY-247912,Shelley A. Delacruz,Robin Jones,"House 375, Johar Town, Islamabad",11777541,2023-12-25,20,Apartment
28029-6510260-2,REGY-489317,A. Miller,Heather Butler,"Flat 166, Gulberg, Lahore",6823195,2020-10-18,20,Plot
57297-4728772-7,REGY-605140,Mr. Jerry Perez,Alicia Brown,"House 166, Bahria Town, Rawalpindi",10759059,2023-09-03,20,Plot
57278-7809808-5,REGY-321510,Emily A. Stevens,Jill Foster,"Plot 177, Gulberg, Karachi",5574710,2024-08-25,5,Commercial
59144-1977245-1,REGY-550496,Paul Fowler,Erica Aguilar,"Kothi 225, Model Town, Rawalpindi",5270508,2023-01-25,5,Apartment
98565-1707612-8,REGY-258967,Nicholas Steele,Jason Thompson,"Kothi 821, Bahria Town, Karachi",7749733,2023-12-16,20,Commercial
18843-3927561-3,REGY-330659,Chaudhry Eduardo Zavala,William Warner,"Flat 831, Johar Town, Karachi",9447857,2024-01-12,5,Plot
90353-3879701-9,REGY-436120,Angela Jones,Cody Miller,"Flat 298, Johar Town, Karachi",5435766,2024-10-13,10,Apartment
73357-2866768-3,REGY-219416,Mr. Tina Crawford,Melissa Gonzalez,"Flat 317, Model Town, Karachi",11637995,2022-11-12,5,Apartment
81589-4727706-8,REGY-148420,Chaudhry Kevin Allen,Angela Cisneros,"Flat 581, Bahria Town, Islamabad",22347138,2020-04-02,5,Apartment
74695-8524159-9,REGY-725300,Mr. Eric Smith,Austin Bishop,"Plot 842, DHA, Lahore",14042434,2022-03-26,20,House
20589-1556898-9,REGY-767206,Jesus Cook,Kimberly Harris,"Plot 274, DHA, Karachi",10188407,2025-01-03,10,Commercial
78251-1392024-1,REGY-640145,Chaudhry Kristine Long,Shirley Richards,"Plot 451, DHA, Rawalpindi",8611275,2022-08-07,10,Commercial
79826-5003977-3,REGY-179817,A. Potter,Brenda Garcia,"Plot 322, Model Town, Lahore",5745372,2023-09-26,10,House
27261-6646759-6,REGY-937826,Mr. Annette Collins,Daniel Vaughn,"House 932, DHA, Lahore",5348544,2021-05-04,20,House
91808-3026855-1,REGY-569960,Anthony Anderson,Ernest Powers,"Plot 719, Model Town, Islamabad",9135084,2021-07-14,15,Plot
49414-2465946-4,REGY-582681,Steven Hampton,Jason Wang,"Kothi 618, Model Town, Lahore",9808954,2025-02-25,20,Apartment
17721-5803533-4,REGY-582193,Mr. Michael Lee,Kevin Christian,"Flat 94, Johar Town, Rawalpindi",6745670,2025-11-05,10,Commercial
90260-3407615-7,REGY-345981,Mr. Teresa Key,Cassandra Sosa,"Kothi 386, Gulberg, Karachi",20771920,2021-02-12,20,House
38895-5717168-5,REGY-443516,Chaudhry Jesse Johnson,Tina Carpenter,"Plot 137, Model Town, Rawalpindi",8580011,2023-03-23,15,Plot
15977-4759365-2,REGY-882126,Sarah Stevens,Margaret Brooks,"Plot 451, Model Town, Rawalpindi",72624734,2021-01-15,10,House
76826-6837500-9,REGY-306861,Mr. Kenneth Blake,Sandra Johnson,"Kothi 28, Johar Town, Islamabad",4675211,2020-12-20,10,Plot
62586-4518757-3,REGY-177665,Cynthia Cole,Jennifer Mcdowell,"Flat 509, Gulberg, Karachi",11249515,2023-03-02,20,Apartment
78766-3585178-7,REGY-113261,L. Mora,Calvin Goodwin,"Plot 484, Johar Town, Karachi",11291415,2024-10-27,5,House
35933-5173090-6,REGY-410708,Juan Anderson,Calvin Payne,"House 271, Model Town, Islamabad",43548089,2022-06-28,15,Plot
93310-3033250-8,REGY-169300,Chaudhry Adam Hamilton,Michael Perry,"Flat 386, Johar Town, Karachi",9918666,2024-12-28,5,Commercial
51381-8337912-1,REGY-436962,Mr. Jennifer Newton,Bryce Gonzalez,"Flat 261, Bahria Town, Karachi",9483282,2025-10-16,5,Plot
32272-5899933-2,REGY-458502,Chaudhry Robert Schneider,Jose Hill,"Kothi 835, Gulberg, Rawalpindi",4479468,2020-04-18,20,Apartment
98257-8328129-4,REGY-860012,C. Carroll,Nicole Lane,"House 160, Gulberg, Karachi",17821884,2024-05-26,5,Apartment
76789-3501611-6,REGY-817693,Susan Ward,Kathleen Jones,"Plot 660, Gulberg, Rawalpindi",7745795,2024-08-05,10,Apartment
46383-3498340-2,REGY-694029,M. Valdez,Marcus Gray,"Plot 740, Johar Town, Karachi",9600314,2025-03-06,10,Commercial
31135-8969927-9,REGY-478772,Kaitlyn Wood,Alice Hansen,"Plot 451, Johar Town, Rawalpindi",6295606,2024-06-11,10,Plot
22992-1280547-4,REGY-935395,Mr. Jacob Mclaughlin,Julie Forbes,"Kothi 40, Johar Town, Lahore",2638928,2020-04-01,20,Apartment
80504-8303857-4,REGY-697885,Aaron Bowen,Cindy Martinez,"Flat 646, Johar Town, Karachi",12354190,2024-05-08,5,House
85082-3884921-6,REGY-667608,W. Rivera,Misty Barker DDS,"Flat 107, Gulberg, Lahore",15040937,2022-05-21,15,House
94324-3644522-5,REGY-650771,Mark A. Martin,Patricia Marsh,"Plot 259, Johar Town, Lahore",5567978,2024-04-25,5,Commercial
17852-1847100-4,REGY-546258,Chaudhry Holly Cook,Angela Carpenter,"Plot 211, DHA, Islamabad",8372657,2020-04-24,15,Commercial
43118-2447710-5,REGY-279058,Nicole Mccarthy,Virginia Hamilton,"Kothi 187, Model Town, Lahore",61552824,2022-01-08,5,House
49337-8742753-4,REGY-961035,J. Preston,Benjamin Malone,"Flat 249, Gulberg, Lahore",5017760,2024-04-23,5,Commercial
39289-1138614-2,REGY-623767,Dr. Matthew Thomas,Bobby Savage,"Flat 768, DHA, Rawalpindi",9203130,2022-12-03,10,Plot
74265-1387084-4,REGY-276077,Mr. Mitchell Rogers,Monique Robinson,"Plot 360, DHA, Islamabad",8785891,2025-11-20,20,Commercial
60884-7908022-9,REGY-152870,Chaudhry Donna Hunt,Carrie Thompson,"Kothi 230, Model Town, Rawalpindi",17721869,2024-10-16,20,House
19527-9592102-8,REGY-663827,Marcus A. Newton,Jared Oneill,"Kothi 599, Johar Town, Rawalpindi",8626765,2021-10-18,5,Apartment
45980-3989111-7,REGY-414088,E. Morales,William Lee,"Kothi 217, DHA, Karachi",10702942,2022-10-17,5,Apartment
70470-5112275-9,REGY-146745,Daniel Mercer,Steven Cannon,"House 82, Model Town, Rawalpindi",15388781,2024-07-07,5,House
11166-1222871-5,REGY-871770,Mr. Elizabeth Cole,Lisa Villarreal,"Kothi 648, Bahria Town, Karachi",24786837,2023-11-24,15,Apartment
71602-3197317-5,REGY-746852,Sarah Bowen,Joshua Garcia,"Kothi 730, Bahria Town, Karachi",10898089,2022-08-21,5,Commercial
94228-7594852-1,REGY-526734,Brandon Price,David Meza,"Flat 23, Gulberg, Rawalpindi",10733689,2020-06-05,20,Apartment
52597-9721703-4,REGY-559428,Mr. John Schultz,Miguel Fleming,"Flat 70, Bahria Town, Lahore",53726421,2024-09-04,10,Apartment
97863-2325289-5,REGY-647098,Chaudhry Jennifer Smith,Robert Warner,"House 810, Model Town, Islamabad",10012164,2020-12-22,15,Commercial
81544-3724283-2,REGY-874857,Daniel A. Johnson,Jeanette Jones,"House 749, DHA, Islamabad",3746211,2024-01-15,15,Apartment
13297-7185815-3,REGY-275152,Steven A. Rodriguez,George Ballard,"Kothi 652, Johar Town, Rawalpindi",2396984,2023-11-09,5,Plot
26037-2976217-9,REGY-881428,S. Goodwin,Katherine Newton,"Kothi 308, Gulberg, Rawalpindi",7977127,2025-07-22,15,Commercial
60212-2790460-7,REGY-720900,Mr. Samuel Heath,Don Smith,"Plot 390, Bahria Town, Islamabad",5617333,2020-12-28,5,House
72944-7353722-7,REGY-859828,Justin A. Adams,Ashley Bond,"Flat 855, DHA, Lahore",9307852,2023-01-20,20,Commercial
95416-8532312-5,REGY-861305,Stephen A. Murray,Aaron Anderson,"Plot 158, Gulberg, Rawalpindi",2100104,2024-12-07,20,Commercial
89895-5633368-6,REGY-636159,Chaudhry Barbara Moon,Charles Horn,"Plot 618, Johar Town, Karachi",11304228,2025-04-06,15,Commercial
65755-3494386-5,REGY-386261,Jerry Thomas,Angela Duncan,"Plot 126, Johar Town, Lahore",5272695,2024-08-07,5,House
64556-2371260-1,REGY-755210,Mr. Cynthia Anderson,Maria Bates,"Kothi 680, Model Town, Rawalpindi",10230408,2024-05-21,5,Plot
18266-2716901-2,REGY-916297,Mr. Kathleen King,Shirley Brown,"Kothi 309, Johar Town, Lahore",2903392,2022-10-15,20,House
59212-7108592-3,REGY-990885,M. Melissa Lopez,Bryan Carter,"Kothi 91, DHA, Lahore",8274431,2023-08-12,5,Commercial
29806-9451828-4,REGY-715012,Mr. Garrett Wright,Maurice Robinson PhD,"House 835, DHA, Karachi",56919484,2022-11-14,20,Commercial
89215-9684895-2,REGY-312443,K. Cross,Sherry Romero,"Plot 297, Gulberg, Rawalpindi",2530391,2021-02-21,10,Commercial
43014-5042995-6,REGY-834198,Chaudhry David Thomas,Linda Gomez,"House 577, DHA, Rawalpindi",11910908,2024-06-03,10,House
50017-1979810-2,REGY-200794,Mr. Todd King,Christopher White,"House 439, DHA, Karachi",8982933,2022-12-04,15,Apartment
87018-5660976-8,REGY-281292,K. Carroll,Chelsea Lee,"Flat 192, Johar Town, Rawalpindi",3628617,2021-05-27,15,Apartment
12803-5725096-8,REGY-732891,Dakota A. Martinez,Mary Davis,"Flat 307, Johar Town, Islamabad",25527188,2025-12-20,15,Commercial
93683-9542035-2,REGY-148566,Mary A. Chavez,Rodney Harris,"House 821, Johar Town, Rawalpindi",9940273,2021-01-08,20,Apartment
54619-4839866-6,REGY-327429,Chaudhry Amy Powell,Christine Singh,"House 325, Johar Town, Islamabad",6397580,2023-10-17,5,Commercial
50378-7272462-4,REGY-905646,Michele Davis,Alexander Lee,"Kothi 936, Johar Town, Islamabad",49462484,2020-10-26,5,Plot
87999-5043828-7,REGY-538120,Chaudhry Dennis Wallace,Deanna Clark,"Kothi 264, Johar Town, Karachi",11782023,2021-11-15,10,Plot
27683-3147454-9,REGY-888009,Chaudhry Kimberly Faulkner,Adam Hernandez,"House 82, Model Town, Karachi",8410093,2023-07-26,15,House
57233-5347195-4,REGY-680262,Crystal Randall,Kyle Walters,"Kothi 474, Bahria Town, Lahore",5714394,2020-09-12,15,House
49368-2753042-3,REGY-101602,William A. Lee,Scott White,"Kothi 658, Johar Town, Rawalpindi",13548688,2024-02-11,5,Commercial
15652-4206164-7,REGY-184075,Mrs. Yvette Jacobs,Barbara Mendoza,"Kothi 702, Gulberg, Karachi",12981557,2025-08-03,5,Commercial
59099-5794459-7,REGY-565202,Mr. William Dean,Kenneth Pearson,"Kothi 528, Gulberg, Karachi",4711258,2025-06-15,5,House
61186-3363345-9,REGY-223717,E. Richardson MD,Andre French,"Flat 570, Gulberg, Lahore",4768402,2023-01-15,20,Plot
20694-5037515-2,REGY-220710,Chaudhry Tracy Walker,Amy Booth,"Plot 854, Model Town, Islamabad",10110477,2020-02-03,20,Plot
70189-8974321-6,REGY-107455,A. Ingram MD,Christian Stewart,"Flat 616, Model Town, Karachi",2916107,2022-07-16,20,Apartment
81551-3965836-3,REGY-817729,M. Kyle Sullivan,James Manning,"House 160, Johar Town, Karachi",8957143,2023-02-13,20,Commercial
72706-6646611-2,REGY-710993,Chaudhry Megan George,Erin Marshall,"Plot 147, Johar Town, Karachi",2097894,2023-07-03,10,Plot
53134-5841927-5,REGY-547948,Chaudhry Lisa Perez,Mr. Joshua King,"House 274, Bahria Town, Rawalpindi",7872600,2020-04-21,15,Apartment
11584-8307187-4,REGY-274545,Chaudhry Roberto Ball,Sara Fitzgerald,"Kothi 478, DHA, Rawalpindi",9398894,2025-01-26,10,Commercial
92748-7294180-1,REGY-791980,V. Orozco,Stephen Trevino,"House 984, Bahria Town, Rawalpindi",16315447,2022-10-19,5,Commercial
43159-5034844-1,REGY-123079,Rebecca Christian,Tricia Pruitt,"House 474, Gulberg, Lahore",7757149,2025-11-23,10,Plot
42266-8523023-5,REGY-524642,Dominique Schultz,Mary Evans,"Plot 994, DHA, Islamabad",5260920,2022-07-19,20,House
85222-1534456-2,REGY-668513,Alex Young,Charles Mahoney,"House 644, Johar Town, Rawalpindi",11171935,2020-09-18,5,Commercial
82061-3457368-7,REGY-887433,Chaudhry Kathleen Ramsey,Mckenzie Ward,"Plot 917, Johar Town, Rawalpindi",29429656,2024-10-26,15,Plot
44845-6800235-7,REGY-785636,Sean Jones,Parker Thompson,"Plot 196, DHA, Islamabad",48818688,2020-10-26,15,Plot
88536-8276499-4,REGY-406335,Sydney Beasley,Johnathan Stevens,"Flat 581, Model Town, Lahore",15345306,2025-09-14,20,Apartment
75659-7226096-9,REGY-914389,C. King,Jason Perry,"House 40, Model Town, Islamabad",10068564,2023-06-11,10,Commercial
94631-5365539-5,REGY-565422,Jordan A. Holloway,James Hurst,"Kothi 797, Johar Town, Rawalpindi",19046586,2023-07-13,5,House
68913-8747558-8,REGY-954076,T. White,Jennifer Jordan,"Flat 943, DHA, Karachi",11644894,2022-06-13,10,House
24858-5164571-3,REGY-323369,J. Wall,Katrina Smith,"Plot 139, Bahria Town, Rawalpindi",7598116,2022-08-14,10,Plot
97484-6609266-4,REGY-869886,S. Wood,Curtis Rodgers,"Flat 746, Gulberg, Rawalpindi",10709393,2025-09-12,20,Plot
16098-3909818-1,REGY-495174,Michael Jarvis,Evan Suarez,"Plot 457, DHA, Lahore",11148972,2022-05-03,10,Plot
69316-1518114-1,REGY-313096,Mr. Victoria Joyce,Katherine Bryant,"Kothi 762, Gulberg, Lahore",2683582,2023-01-25,5,House
64216-4891992-3,REGY-821497,C. Davis,Ronnie Robinson,"House 601, Gulberg, Karachi",2225778,2025-11-18,10,Plot
54483-6114356-8,REGY-451923,R. Martinez,Mr. Christopher King,"Kothi 405, DHA, Lahore",10504002,2022-07-17,20,House
52337-1625731-7,REGY-893774,S. Berg,Scott Wilson,"Plot 227, Model Town, Lahore",5562711,2024-03-04,15,Apartment
13516-2573252-1,REGY-998196,Mr. Dennis Robertson,Victoria Bullock,"Kothi 880, Gulberg, Rawalpindi",6518524,2023-11-08,5,Plot
58971-2655641-7,REGY-508926,Mr. Bruce Steele,Candice Hart,"Flat 13, Gulberg, Islamabad",5358346,2020-11-28,5,Apartment
63656-2098562-8,REGY-475069,Mr. Jerry Brooks,Travis Abbott,"Kothi 107, Gulberg, Lahore",6282207,2025-07-11,20,Commercial
63004-2714250-8,REGY-571771,Jason Montgomery,Brittany Neal,"Kothi 820, Johar Town, Lahore",3563501,2020-12-02,15,Plot
25177-8879291-5,REGY-456506,Dustin A. Shaw,Brent Miles,"House 621, Gulberg, Islamabad",3757842,2021-09-12,15,Apartment
97605-1046912-8,REGY-153290,A. Parker,Beverly Henderson,"Plot 360, Johar Town, Rawalpindi",77780164,2025-04-15,15,House
59661-2736426-5,REGY-694145,Kenneth Alvarez,Carrie House MD,"House 340, Model Town, Karachi",7584201,2021-03-28,20,Apartment
84282-7702709-1,REGY-730102,James A. Sloan,Trevor Gray,"Kothi 472, Johar Town, Karachi",3263808,2020-05-16,5,House
91696-9019698-5,REGY-567702,Mr. John Martinez,Teresa Murray,"House 722, Model Town, Lahore",2777397,2020-06-18,5,Plot
29373-6375153-1,REGY-368546,Krista A. Weeks,Vincent Boyd,"Plot 32, Bahria Town, Islamabad",17794834,2022-02-14,20,Apartment
41207-7395767-4,REGY-163839,Chaudhry Angela Jones,Victor Meyers,"Flat 630, Johar Town, Karachi",3016400,2020-09-10,15,Plot
23236-5147367-8,REGY-122392,M. Ramirez,Victor Evans,"Kothi 975, Model Town, Karachi",16116211,2020-04-10,15,Apartment
68760-3935625-9,REGY-221444,T. Alvarez,Melissa Mora,"Flat 958, Model Town, Lahore",6647251,2022-08-05,5,House
79189-5541978-8,REGY-393341,Mr. Tiffany Bass,Charles Walker,"House 959, DHA, Karachi",5281688,2020-04-26,10,Plot
10124-7663670-9,REGY-585578,Dr. Aaron Morgan,Dana Carter,"House 335, Model Town, Lahore",3268573,2023-10-15,10,Plot
30420-7371036-3,REGY-137670,Kimberly Howard,Mark Whitaker,"Flat 555, DHA, Lahore",2842651,2022-04-28,20,House
70235-9511063-3,REGY-757385,Kenneth A. Stevens,Andrew Parrish,"Kothi 841, DHA, Karachi",9079268,2022-11-18,20,House
30162-6154514-4,REGY-462489,Chaudhry Alex Parker,Larry Nelson,"House 56, Model Town, Lahore",9864004,2021-09-22,15,Apartment
33846-8348865-9,REGY-951667,Robin A. Hawkins,Michelle Kelly,"Flat 854, Bahria Town, Karachi",11133931,2022-07-12,20,Apartment
51095-7586412-3,REGY-548183,Jeremy A. Rose,Debbie Clark,"Kothi 283, Model Town, Karachi",24993473,2022-05-23,15,Plot
27739-7241086-3,REGY-376956,Michael King,Rachel Martinez,"Plot 712, DHA, Lahore",7682915,2023-04-18,5,House
36436-6138295-1,REGY-726544,Javier Rodriguez,Carol Miller,"Flat 331, DHA, Islamabad",56258096,2025-03-16,15,Plot
98912-8829962-9,REGY-682288,Whitney A. Hernandez,Maria Scott,"Plot 454, DHA, Lahore",9430410,2025-05-22,10,House
55744-7743905-3,REGY-777973,J. Gomez,Kayla Contreras,"Plot 213, DHA, Lahore",9570106,2020-09-13,20,Plot
21969-7731553-2,REGY-110531,Danny A. Green,Daniel Nichols,"Plot 253, Gulberg, Lahore",2338325,2020-07-22,15,Commercial
63633-8542832-2,REGY-441701,Chaudhry Kristin Dickerson,Tammy Norris,"House 407, Model Town, Karachi",7174078,2020-07-23,5,Commercial
41726-8308605-6,REGY-662274,Mr. Angela Mejia,Karen Dudley,"Kothi 545, Model Town, Karachi",2599506,2021-12-22,5,Plot
60471-2124206-5,REGY-223413,Chaudhry Crystal White,Amy Roberts,"Kothi 289, Model Town, Lahore",6505756,2021-08-25,5,Plot
38069-8327367-6,REGY-920347,Chaudhry Donald Brooks,Tammy Hurley,"Kothi 290, Bahria Town, Rawalpindi",4770943,2023-02-13,5,Plot
49804-7372788-2,REGY-335707,C. Evans,Douglas Taylor,"House 461, DHA, Rawalpindi",19313926,2022-02-17,20,Commercial
66044-5301726-8,REGY-322208,Haley A. Cabrera,Samuel Wood,"Flat 405, DHA, Karachi",20754587,2022-11-09,20,Plot
75795-3626372-9,REGY-207899,M. Lewis,Johnny Harris,"Kothi 196, DHA, Rawalpindi",9603161,2020-11-09,15,Plot
60119-6753896-7,REGY-539451,L. Gilbert,Jessica Gonzalez,"House 571, DHA, Rawalpindi",7549676,2023-07-05,10,Plot
96517-3617435-5,REGY-682981,Chaudhry Kelsey Smith,Clayton Leon,"Kothi 528, Bahria Town, Islamabad",54410513,2023-04-03,10,Apartment
52531-8482712-8,REGY-930870,J. Wiggins,Erin Gonzalez,"Flat 935, Johar Town, Rawalpindi",9943944,2022-05-07,5,House
90225-3330989-3,REGY-276136,Chaudhry Wanda Kennedy,James Moore,"Flat 656, Johar Town, Lahore",4738681,2022-02-02,15,Plot
64178-1419648-5,REGY-733352,L. Dunlap,Margaret Scott,"Kothi 384, Bahria Town, Rawalpindi",6842453,2025-01-22,20,Apartment
12645-8859237-7,REGY-152033,Lauren Tapia MD,Nichole Nelson,"Plot 715, DHA, Lahore",20886695,2020-12-22,5,Apartment
93484-4712513-5,REGY-787629,Jack Brown,Sara Lindsey,"Kothi 208, Gulberg, Islamabad",7018187,2023-10-25,15,Commercial
85563-8623170-7,REGY-105899,Karen Beck,Ernest Allison,"Flat 399, DHA, Karachi",5456280,2021-09-13,20,Apartment
19020-6175880-9,REGY-782913,A. Young,Matthew Barrett,"House 598, Gulberg, Rawalpindi",6403815,2023-07-26,5,Commercial
96659-6888913-7,REGY-838184,Nicholas A. Hughes,Sonya Blackwell,"Plot 246, Johar Town, Rawalpindi",7426081,2025-03-11,15,House
53188-5194852-7,REGY-389757,J. Rose,Tommy Raymond,"Flat 506, Gulberg, Lahore",8613122,2020-07-17,20,Commercial
75480-9574209-4,REGY-633135,Lisa Marshall,Karen Hernandez,"House 833, Bahria Town, Lahore",9301999,2022-10-18,5,Plot
55326-6000063-2,REGY-335248,Chaudhry Rose Johnson,Joseph Peterson,"Plot 243, Gulberg, Islamabad",10499557,2021-09-10,5,Apartment
67885-7867541-9,REGY-411719,Zachary A. Garcia,James Clark,"House 44, DHA, Karachi",26880756,2025-04-22,20,Commercial
97496-4474950-2,REGY-439531,Mr. Brenda Garcia,Cheryl Torres,"Kothi 157, Johar Town, Islamabad",5146353,2021-10-10,10,Apartment
57378-2122958-3,REGY-129192,Mr. Matthew Tucker,Nicholas Whitaker,"Flat 671, Gulberg, Karachi",2876424,2023-06-19,20,Plot
26295-1735614-2,REGY-647694,Mr. Christopher Morgan,Raymond Flores,"Kothi 333, DHA, Rawalpindi",11411827,2020-02-10,20,Plot
91988-5683836-6,REGY-444996,Bonnie A. Larson,Kevin Williams,"Kothi 239, Model Town, Karachi",5326784,2020-07-22,10,Apartment
71306-4044047-3,REGY-156806,J. Ramirez,Sean Jennings,"Kothi 969, Model Town, Karachi",5161401,2024-11-02,10,Apartment
88097-7588842-9,REGY-134568,Mr. Kelsey Osborne,James Moses,"House 196, Model Town, Islamabad",11744083,2024-06-03,20,Commercial
98103-5588073-9,REGY-359489,Chaudhry Troy Thomas,Denise Davis,"Plot 655, DHA, Islamabad",10432177,2024-02-27,10,Apartment
60313-4869789-6,REGY-837537,Andrea A. Berry,Christian Chan,"House 10, Gulberg, Rawalpindi",11703739,2023-10-14,20,Plot
92896-7237533-5,REGY-413886,Chaudhry Melissa Dawson,Tammy Thomas,"Kothi 238, Johar Town, Karachi",6333700,2023-11-17,20,Apartment
49145-4497037-6,REGY-534692,Chaudhry Amanda Johnson,Joseph Lester,"Kothi 587, Model Town, Rawalpindi",9890896,2020-02-10,5,Plot
20875-1167124-1,REGY-377531,Chaudhry Jesse Rogers,Jessica Martin,"Kothi 646, Model Town, Rawalpindi",7967436,2021-06-10,10,Apartment
37293-8302836-9,REGY-868538,Mr. John Lee MD,Zachary Mcdonald,"Plot 502, DHA, Rawalpindi",9942886,2025-06-07,20,Commercial
38588-6472476-8,REGY-783344,Stacy Robinson,Catherine Patterson,"House 712, Model Town, Islamabad",57978554,2025-03-23,10,Commercial
97244-3297365-8,REGY-903638,Jeffery A. Rice,William Robbins,"Plot 292, Johar Town, Rawalpindi",7066992,2020-05-22,20,Commercial
88362-4083894-4,REGY-812889,Chaudhry Carly Barajas,Dr. Emily Ali,"Flat 408, Model Town, Lahore",8344891,2021-05-20,15,Apartment
22573-5979307-6,REGY-143088,Patrick A. Morris,Christine Klein,"Plot 592, Bahria Town, Karachi",19718676,2021-12-27,15,Commercial
64254-5788336-2,REGY-257595,J. Reynolds,Jared Wolfe,"Flat 770, Johar Town, Karachi",6711428,2025-10-22,10,Apartment
22639-6090116-5,REGY-781844,Anita Anderson MD,Christina Taylor,"Kothi 277, Gulberg, Islamabad",3610007,2022-08-09,10,Plot
98951-6764771-5,REGY-289048,Chaudhry Adam Haney,William Graves,"House 228, Model Town, Karachi",2026891,2025-02-12,15,Plot
52077-4329652-7,REGY-192838,Chaudhry Victor Doyle,Lisa Cruz,"Flat 920, Model Town, Lahore",8526859,2024-06-17,20,Apartment
94822-6183462-5,REGY-188987,Allison Cummings,Mr. Matthew Ball,"House 526, Model Town, Karachi",10429011,2022-04-21,10,Plot
37801-7128766-2,REGY-764727,Chaudhry Joe Cortez,John Alvarez,"Flat 351, DHA, Karachi",7423613,2024-01-18,5,Apartment
65995-5195626-2,REGY-710722,Chaudhry Cory Perkins,Destiny Chavez,"Kothi 511, Model Town, Islamabad",7639860,2022-01-24,10,Plot
78935-9679092-1,REGY-746101,B. Scott,Cindy Mccann,"Flat 431, Johar Town, Islamabad",47851832,2020-03-17,10,House
83631-4046581-8,REGY-856320,Amy Fleming,Alyssa Stout,"Kothi 338, Bahria Town, Karachi",6108888,2025-11-27,5,Apartment
43818-2654733-4,REGY-937122,Anthony A. Kidd,Erica Norris,"Plot 909, Bahria Town, Lahore",11696952,2022-04-01,20,Plot
35827-9782032-4,REGY-857034,Melissa A. Wood,Rodney Fisher,"Plot 549, Gulberg, Islamabad",2341514,2023-01-27,5,Apartment
75316-7265752-1,REGY-458776,Chaudhry Isabel Davis,David Callahan,"Plot 682, Bahria Town, Rawalpindi",11238148,2022-11-22,20,Apartment
77855-8988948-4,REGY-616882,C. Banks,David Carroll,"House 729, Model Town, Lahore",7968085,2022-01-21,15,Plot
21208-5599454-6,REGY-936444,Chaudhry William Schwartz,Amanda Hicks,"House 498, Bahria Town, Karachi",2500842,2023-04-05,10,House
92754-2615936-9,REGY-253618,Mr. Michele Khan,Randy Harris,"Plot 882, Gulberg, Karachi",6781444,2024-02-06,10,Plot
49768-4648457-6,REGY-475718,Laura A. Norris,Jesse Taylor,"Kothi 81, Gulberg, Islamabad",7434584,2025-05-03,15,House
62164-4476162-6,REGY-440706,Aaron Lambert,Kimberly Lewis,"House 990, Gulberg, Rawalpindi",16243557,2024-04-08,15,Commercial
36252-4338957-9,REGY-993031,Curtis A. Ellis,Mary Gay,"House 706, Gulberg, Karachi",3088794,2025-04-27,20,Commercial
88745-2677314-6,REGY-428093,Garrett Stevens,Michael Atkinson,"Plot 105, Bahria Town, Islamabad",5273419,2025-02-05,20,Plot
57410-2311615-7,REGY-580803,Mr. Sarah Brewer,Joseph Morris,"House 769, Johar Town, Lahore",5558221,2025-12-04,10,Commercial
48937-7449956-8,REGY-638364,Mr. Jason Ruiz,Christopher Boyd,"Kothi 277, Model Town, Islamabad",62324830,2023-03-06,15,Apartment
81450-1423072-4,REGY-782412,B. Rodriguez,Andrea Mccoy,"Kothi 182, DHA, Karachi",3243112,2023-09-07,20,Plot
55123-8131566-4,REGY-763224,Chaudhry Matthew Burns,Linda Hodge,"House 980, DHA, Lahore",11541422,2025-09-04,10,House
89420-3120866-1,REGY-304478,Kristina Garcia,Sandra Hurley,"Kothi 450, Johar Town, Islamabad",17494250,2020-02-16,5,Apartment
46072-1490241-7,REGY-991671,J. Smith,Courtney Carter,"Flat 541, DHA, Islamabad",7554289,2025-06-28,5,Apartment
27915-8739445-4,REGY-225111,Chaudhry Frederick Smith,Mark Williams,"Plot 249, Bahria Town, Lahore",3326288,2020-06-28,15,House
93345-5523782-3,REGY-639478,M. Mary Hall,Melissa Odom,"Kothi 424, Model Town, Lahore",18385584,2024-07-25,5,Plot
66982-8031987-1,REGY-450246,Chaudhry Jeffrey Hernandez,Christopher Hamilton,"House 511, Johar Town, Lahore",9154159,2024-02-13,5,House
63110-3282240-8,REGY-824210,Barry James,Laura Frazier,"Kothi 180, Bahria Town, Rawalpindi",9556169,2024-04-24,5,House
27230-9448520-7,REGY-770256,Yvonne A. Romero,Kristen Park,"Flat 273, DHA, Karachi",8602146,2020-07-16,20,Plot
25107-8713710-6,REGY-261172,T. Thomas,Hector Yu,"House 912, Johar Town, Karachi",5033285,2024-07-11,15,Commercial
77864-4610446-3,REGY-815468,Mr. Traci Fuller,Kayla Thompson,"House 95, Model Town, Karachi",5853507,2020-04-28,15,Commercial
51048-4833829-2,REGY-312039,Claudia Arnold,Kristin Gutierrez,"House 429, Bahria Town, Lahore",2435904,2021-11-16,5,Plot
22134-9012015-8,REGY-135624,E. Becker,James Williams,"Plot 777, Gulberg, Islamabad",11292351,2025-11-10,15,House
92969-4457109-3,REGY-244089,Mr. Diana Simmons,Kyle Chen,"Kothi 795, Gulberg, Karachi",11595732,2025-11-12,5,Plot
15562-6772780-9,REGY-870722,Jerry A. Robinson,Tammy Garrison,"Plot 824, Model Town, Lahore",10461589,2023-03-20,5,Plot
